x_coor,y_coor,price,bedrooms,bathrooms,sqft_lot,grade,sqft_living15,sqft_lot15
-122.295,47.5474,329950,3,1.75,5969,7,2090,5500
-122.253,47.3183,480000,4,2.5,16171,9,2640,8517
-122.368,47.6981,740500,3,3.5,6350,8,1830,6350
-122.347,47.6824,518500,3,3.5,1102,8,1620,3166
-122.248,47.5009,205425,2,1,6780,6,1190,6780
-122.303,47.4965,171800,4,2,9600,6,1880,9000
-122.294,47.587,535000,4,1,2982,7,1610,4040
-122.386,47.7728,660000,3,2.5,6474,8,2340,10856
-122.226,47.7288,391500,3,2,9132,7,1580,9104
-122.364,47.6999,395000,2,1,6000,6,1710,6000
-122.266,47.5299,445000,4,1.75,4400,7,1850,4400
-122.098,47.6897,770000,3,2.25,10204,9,2700,13992
-122.212,47.6141,1450000,4,2.75,17789,8,3060,11275
-122.244,47.5091,445000,3,2.25,8201,8,2660,8712
-122.39,47.3129,260000,4,2.25,8811,8,2090,8400
-122.352,47.6763,822500,5,3.5,4960,7,1700,4960
-121.85,47.5319,430000,4,2.5,4310,7,1970,3748
-122.152,47.2761,212000,3,1.75,7875,7,1420,7680
-122.054,47.5343,660500,4,2.25,9603,8,2060,9793
-122.072,47.697,784000,3,3.5,111078,9,2480,88500
-121.998,47.5517,453246,3,2.5,2287,8,1690,1662
-122.38,47.6734,675000,4,3.5,2278,9,1540,2285
-122.296,47.3257,199000,3,1.75,17390,7,1550,19265
-122.299,47.3309,220000,4,1.75,7840,7,1750,8140
-122.266,47.7689,452000,4,2.25,10002,8,1550,10436
-122.287,47.7135,382500,2,1,4440,6,1060,5715
-122.381,47.6722,519950,3,2.25,1249,8,1350,1310
-122.358,47.6338,665000,2,1,3200,7,1170,3600
-122.128,47.5707,527700,5,2.5,9375,8,2820,9375
-122.171,47.4563,205000,3,1,8579,7,1610,8579
-122.351,47.7144,420000,3,1,8097,7,1560,7940
-122.174,47.5495,500000,4,2.25,8517,8,2230,8824
-122.026,47.7421,921500,4,2.5,315374,9,2840,87991
-122.353,47.6354,890000,4,1,4000,8,2200,4000
-121.943,47.5262,430000,2,2.5,60984,7,1940,193842
-122.286,47.3887,258000,5,2,12500,8,1360,18000
-122.336,47.6873,511000,3,1,3455,7,1450,4599
-122.353,47.6838,532170,3,2,3090,8,1500,3090
-122.359,47.655,560000,3,1,5000,7,1420,5000
-122.304,47.3255,282950,3,1,8200,7,1680,8633
-122.162,47.562,2250000,4,3.25,19850,12,3160,9750
-122.3,47.679,350000,1,1,5100,7,1010,5100
-122.176,47.4479,215000,3,1,7669,7,1190,7669
-122.172,47.525,650000,5,3.5,25245,9,2640,13675
-122.369,47.3135,320000,4,2.75,7500,8,1980,7875
-121.996,47.2086,247000,3,2,7198,7,1160,7198
-122.118,47.4715,320000,4,1.75,11180,8,1730,11180
-122.335,47.4877,255000,5,2.25,8632,7,1010,11680
-122.193,47.7171,438000,3,1.75,9660,7,1200,9660
-122.023,47.6012,900000,3,2.5,16603,10,3400,12601
-122.224,47.7319,441000,3,2.75,7280,7,1710,8152
-122.023,47.4582,420000,3,2,38332,7,2110,36590
-122.168,47.7209,370000,3,1.75,7000,7,1640,7500
-122.327,47.408,269950,2,1.75,7250,5,1830,9750
-122.125,47.565,807100,4,2.5,4499,9,2920,4500
-122.231,47.7028,653000,3,2.5,9750,8,2480,8750
-122.331,47.7458,371500,3,2,8336,7,1770,7288
-122.337,47.4776,284000,3,1.75,21000,7,1070,7920
-122.374,47.3026,272000,3,1.75,7140,7,1930,7350
-122.339,47.7658,313000,3,1.5,7912,7,1480,7940
-122.182,47.6477,917500,4,2.5,35003,10,3740,35230
-122.125,47.5619,673000,4,2.25,8190,8,2260,8335
-122.31,47.6106,425000,3,2.5,1100,8,1590,1795
-122.308,47.5868,399950,5,2.75,5400,7,1280,2150
-122.307,47.6101,385000,3,1,4800,6,1200,4800
-121.999,47.1976,269950,3,1.5,7560,7,1950,8941
-122.358,47.7224,330000,2,1,8220,7,1540,8280
-122.179,47.3505,260000,3,2.5,5797,7,1670,6183
-122.376,47.5384,470000,4,3,5125,7,1410,5375
-122.2,47.7044,589000,4,3,9600,7,2290,9600
-122.039,47.3848,163500,2,1.5,3419,7,1050,3417
-122.102,47.6993,835000,4,2.75,13412,9,2260,9984
-122.188,47.6627,1100000,5,3,12850,10,2540,10270
-122.379,47.3099,269000,4,1.75,10000,8,2190,8910
-122.043,47.62,560000,3,2.5,8744,8,2030,8744
-122.34,47.65,615000,4,1,2400,6,1330,4400
-122.153,47.6647,585188,3,2.25,10026,8,2230,9340
-122.191,47.726,305000,3,1.75,9480,7,1540,8400
-122.184,47.4616,166950,3,1,8820,6,1230,7980
-122.219,47.5505,799000,3,2.5,9897,8,2680,10083
-122.336,47.7606,400000,3,2.5,7508,7,1900,7818
-122.3,47.7481,230000,3,1,10228,7,1570,10228
-122.347,47.2779,256883,3,2.5,5025,8,2550,5001
-122.312,47.5511,423000,4,2,6480,7,1500,6480
-122.372,47.5488,465000,3,2.5,4084,8,1750,2385
-121.911,47.5385,440000,3,2.5,66211,7,2330,67268
-121.994,47.4058,385000,3,1.75,155073,7,1560,50965
-122.184,47.5093,210000,3,1,11725,6,1300,9514
-122.165,47.3777,297000,3,2.5,14952,8,2030,10450
-122.394,47.675,470000,3,1,5000,7,1680,5000
-122.37,47.3025,226500,3,1.5,7370,7,1430,7500
-122.158,47.4787,274250,3,1,8450,6,1400,8040
-122.219,47.5378,840000,4,1.75,11010,9,2770,10744
-122.114,47.7073,677900,3,2.5,4587,8,2750,4587
-122.381,47.5733,425000,3,1,5864,7,1290,5000
-122.339,47.4604,180250,2,0.75,9600,6,1250,14280
-122.343,47.7067,464000,6,3,3404,7,1560,1312
-122.047,47.354,320000,4,2.25,7579,8,1630,6397
-122.284,47.6647,625504,3,2.25,1566,8,1160,1327
-122.017,47.6143,592500,4,2.5,12032,9,2520,12368
-122.275,47.3185,465000,3,2.5,17936,9,2590,18386
-122.268,47.5458,477000,4,2.75,6270,8,2130,8700
-122.299,47.4889,280000,2,1,16400,6,1100,14459
-122.21,47.5673,1510000,5,3,33474,9,3836,20953
-122.379,47.5133,445838,3,2.5,5692,8,1320,5390
-122.291,47.5884,1070000,2,2.25,14864,8,2580,5184
-122.367,47.7145,467000,2,1.5,10800,8,2120,12040
-122.026,47.5836,686000,4,2.5,6440,10,3070,8127
-122.299,47.398,279950,3,2,9750,7,1900,10125
-122.215,47.7663,527000,4,2.25,19436,8,1910,10055
-122.217,47.3758,325000,3,2.25,16020,8,2080,9583
-122.023,47.3828,328000,3,2.25,8379,7,2020,8031
-122.373,47.5123,390000,3,2.25,7500,7,1280,7392
-122.013,47.7076,479950,2,2,6516,8,1640,6009
-122.371,47.2922,264950,4,2.25,9753,7,1510,9753
-122.214,47.4075,235000,3,1,15246,7,1960,13068
-122.034,47.6794,516500,3,2.5,4729,7,2250,4729
-122.375,47.4497,655000,2,1.75,15798,7,2030,13193
-122.164,47.5218,500000,4,2.75,15347,7,2280,15347
-122.339,47.3103,315000,6,2.75,7350,8,2120,8236
-121.899,47.5687,213000,2,1,10200,6,1150,13702
-122.303,47.5575,475000,3,1.5,5280,7,2090,4800
-122.183,47.6489,1030000,5,4,28040,10,3430,35096
-121.95,47.3459,416000,3,2,94300,7,2070,80100
-122.303,47.6136,410000,4,1,4740,7,1510,4740
-122.023,47.7641,800000,3,3.5,221284,10,2920,148539
-122.324,47.3376,472000,6,2.5,14034,9,2600,13988
-122.319,47.3173,225000,3,1.75,8505,7,1190,8640
-122.376,47.5308,210000,2,1,6000,6,830,4960
-122.299,47.6727,455000,2,1,5000,7,1450,3750
-122.216,47.3221,225000,3,1,8316,6,1260,8316
-122.353,47.6779,480000,2,1,3060,7,1390,3060
-122.395,47.3076,363000,3,2.5,11872,9,2570,10377
-122.072,47.6338,2400000,4,2.5,8354,9,3120,18841
-122.357,47.5218,181000,2,1.5,5120,6,1150,2566
-122.213,47.2785,250000,4,2,7312,7,2010,7650
-122.345,47.6846,481000,3,1.75,3000,6,1390,3000
-122.278,47.3656,260000,3,2,7209,7,1750,7209
-122.111,47.4369,455000,4,2.5,7685,9,3060,6567
-121.711,47.4616,415000,3,2.25,36224,8,1730,36224
-122.27,47.5405,349500,3,1,3538,7,1620,6331
-122.178,47.3507,245000,3,2.5,7442,7,1630,6458
-122.32,47.6979,592500,2,2,9191,7,1420,6816
-122.345,47.5278,385000,4,1.75,7620,7,1910,7620
-122.147,47.4756,315000,3,1.75,11455,7,1550,10650
-121.772,47.4437,255000,3,1,10170,7,1380,10098
-122.109,47.7048,693000,4,2.5,4425,8,2990,5659
-122.302,47.6362,780000,3,1,4400,8,1660,4400
-122.29,47.4207,237000,3,1.75,8470,7,1600,8470
-122.047,47.6154,525000,3,2.25,40510,10,2380,33450
-122.299,47.5964,425000,2,1,5040,5,1330,2580
-122.438,47.4683,369900,1,0.75,10079,5,1230,14267
-122.171,47.4045,290000,4,2.5,7280,7,1950,7475
-122.358,47.5544,285000,3,1,10701,7,1130,6350
-122.29,47.6802,415000,2,1,4500,7,1320,4465
-122.371,47.2988,272500,3,2.5,9900,8,2070,8250
-122.223,47.6312,2900000,4,3.25,20100,11,3890,20060
-122.042,47.7285,1370000,4,4.75,57346,11,4180,47443
-122.352,47.7107,436000,2,1,7538,7,1440,7530
-122.323,47.3271,210000,3,1,11390,7,1350,8164
-122.255,47.5053,236000,3,1,5898,7,1320,7619
-122.4,47.6601,331000,3,1.75,1306,7,1440,2225
-122.166,47.4145,365000,3,2.5,4510,8,2653,4927
-122.165,47.4672,450000,3,2,16258,8,1660,10530
-122.261,47.7618,770000,4,2.75,26300,9,1860,12136
-122.071,47.3828,455000,4,2.5,49375,8,2670,49385
-122.268,47.5362,405000,3,1.75,6000,6,2020,6000
-122.206,47.3954,304900,4,1.75,11325,7,1720,11088
-122.272,47.5048,170000,2,1,5265,6,1650,8775
-122.287,47.6166,2050000,5,3,8480,9,3050,7556
-122.025,47.6811,780000,4,2.5,7048,9,3920,7864
-122.23,47.7486,330000,3,3,13959,8,2570,13300
-122.169,47.3846,370000,4,2.5,8666,9,2410,8100
-122.144,47.7564,467000,5,2.25,13500,7,2300,9750
-122.193,47.7198,405000,3,1.75,6720,7,1670,7320
-122.151,47.5461,675000,5,2.25,10300,8,2310,10300
-122.143,47.5712,500000,2,1,14100,7,1520,13527
-122.343,47.4281,389999,4,2.5,15770,7,2410,15256
-122.223,47.7128,630000,4,1.75,9025,8,2120,9600
-122.255,47.3341,360000,4,2.5,9528,9,2280,9937
-122.181,47.5399,580000,4,3,11060,8,2320,11004
-122.375,47.5717,550000,3,2,4166,8,2390,4166
-122.017,47.5951,879000,4,2.5,22111,10,3150,11374
-122.144,47.3536,265000,3,2,8959,7,1740,7316
-122.154,47.5084,446500,3,2.5,7286,8,2400,7220
-122.311,47.5586,404000,3,1.5,8880,7,2140,5592
-122.274,47.4427,267500,3,1.75,11914,7,1630,9052
-122.077,47.6053,3080000,4,5,18641,10,4550,19508
-122.301,47.3494,335000,3,2.5,7632,8,2510,7903
-122.393,47.6933,576000,3,2.5,9000,7,2190,7310
-122,47.3537,208633,3,2.5,3810,8,2370,4590
-122.337,47.476,315000,3,2.25,8750,7,1460,10139
-122.298,47.6239,725000,3,1.75,3300,8,1740,4000
-122.384,47.7776,550000,4,2.75,7750,8,1800,8275
-122.058,47.6459,610750,4,2.25,7297,8,2250,9781
-122.297,47.6692,550700,2,1,5000,6,1460,5000
-122.18,47.5376,665000,4,2.75,10574,8,2720,8330
-122.294,47.601,834000,4,2.5,4000,8,2440,5750
-121.837,47.529,201000,5,1.75,78408,6,1660,78408
-122.367,47.6345,2380000,5,2.5,9050,10,2880,5400
-122.102,47.5503,1380000,4,3.25,12103,11,3860,11244
-122.102,47.5503,1400000,4,3.25,12103,11,3860,11244
-122.125,47.4441,305000,4,2.25,7700,8,2150,7350
-122.333,47.7357,487000,3,2,14052,8,1570,8162
-122.157,47.346,390000,3,2.5,64904,8,2350,57500
-122.345,47.6638,548000,2,1,3864,7,1570,3864
-122.336,47.48,268750,4,1,8775,6,1310,8775
-122.151,47.6759,819900,5,2.75,7119,9,1560,8384
-122.057,47.5162,520000,3,2.25,16200,8,2660,17958
-122.252,47.2639,230000,3,2,11204,7,1520,9518
-122.371,47.2929,240000,3,1.75,10248,7,1510,9753
-122.352,47.4957,232000,2,1,12092,6,1820,7460
-122.352,47.4957,240500,2,1,12092,6,1820,7460
-122.093,47.7721,274975,3,2.5,45004,9,3080,35781
-122.319,47.644,740000,4,2,4400,9,2320,5500
-122.344,47.472,186375,3,1,7636,7,1150,7600
-122.166,47.592,790000,3,2.25,10289,9,2500,10004
-122.275,47.669,880000,4,3.5,6750,9,2370,6120
-122.323,47.42,279000,6,1.75,11180,7,1590,7955
-122.012,47.1913,295000,3,2,10530,8,1910,10450
-122.331,47.6666,640000,2,1,5000,7,1710,5000
-122.217,47.5639,940000,4,2,9525,9,2770,9525
-122.052,47.3483,260000,4,2.5,5238,7,1800,5894
-122.164,47.7648,559900,3,2.75,5569,9,2580,11045
-122.357,47.6794,791500,4,2,3500,7,1820,3750
-122.354,47.7535,265000,3,1.75,8250,7,1740,8000
-122.22,47.4945,245000,3,1.75,11547,7,880,78408
-122.093,47.6945,485000,4,1.75,43995,7,2560,14764
-122.157,47.5222,684000,4,3.5,8414,9,3470,8066
-122.32,47.7222,425000,3,1.75,6840,8,1580,8691
-122.49,47.3796,309600,4,1.75,20000,6,1660,20000
-121.875,47.5374,552250,4,2.5,5823,8,2380,5823
-122.24,47.4897,165000,4,1,7134,6,1020,7138
-122.24,47.4897,239900,4,1,7134,6,1020,7138
-122.078,47.4716,320000,2,1,32633,6,1360,32156
-122.173,47.3581,206600,3,2,13464,7,1720,12080
-122.307,47.7713,387000,4,1.75,7690,7,2040,8646
-121.854,47.675,299000,1,0.75,12120,4,1300,19207
-122.222,47.5603,855000,4,2.75,10460,9,2610,10180
-122.337,47.4147,315000,3,1,14400,7,1940,14400
-122.353,47.68,437500,2,1,3120,7,1930,3120
-122.27,47.3117,252000,4,1.5,19800,7,1640,22654
-122.28,47.543,375000,4,1.75,7475,7,1600,5766
-122.034,47.3607,300000,4,2.5,4862,7,2010,5091
-122.137,47.5759,420000,4,1,9600,7,1750,10530
-122.159,47.6891,900000,3,1,77972,7,1340,17689
-122.381,47.565,679900,3,2.5,5750,9,1520,5750
-121.974,47.6359,463000,3,2.5,29970,7,1580,28399
-122.141,47.4769,380000,5,2.5,11340,9,2470,11340
-122.029,47.3845,329500,4,2.5,7912,7,1820,8168
-122.184,47.6743,604950,3,2.5,5608,8,2040,9363
-122.164,47.5651,795000,5,2.5,9570,8,2920,8800
-121.709,47.4853,465000,3,2,40438,7,1380,44049
-122.359,47.4508,673000,4,2.5,10400,9,2140,17449
-122.016,47.6375,810000,4,2.5,15420,10,3400,21455
-122.042,47.5944,785000,4,2.75,69415,8,2770,24361
-122.182,47.4888,338000,4,3,7500,7,1810,7650
-122.19,47.5112,280000,3,2.25,7222,7,1430,7220
-122.341,47.7711,315000,4,2.25,10754,7,1810,6929
-122.341,47.7711,530000,4,2.25,10754,7,1810,6929
-122.345,47.2813,380000,5,3,9914,9,2860,9721
-122.189,47.5038,297000,3,2.25,7562,7,1650,7625
-121.97,47.5823,730000,4,2.5,7331,10,3480,7447
-122.304,47.7164,450000,3,1.75,13500,7,1770,12600
-122.045,47.3624,275000,3,3,7750,7,1680,7500
-122.329,47.6831,595000,4,2,2849,7,1910,3120
-122.307,47.592,435000,3,1.5,3348,7,1590,2577
-122.195,47.7461,270000,2,1.5,209959,6,3130,19868
-122.06,47.7268,950000,3,3,14338,10,3360,14142
-121.959,47.7237,389000,4,2.25,5337,7,2300,6930
-122.095,47.6283,560000,4,2.25,7800,8,2420,8050
-122.148,47.5543,1350000,5,3.5,14984,11,4050,19009
-122.226,47.5483,799000,4,2.25,11585,8,2450,9691
-122.146,47.7591,365500,3,2,9600,7,1410,9600
-122.169,47.4612,252350,3,2,7352,7,1710,7350
-122.365,47.4987,403950,4,2.5,13780,8,1880,12000
-122.358,47.772,385000,4,1.5,10726,7,1610,10020
-122.35,47.5287,345000,4,1,7620,7,1450,7620
-122.114,47.6109,490000,3,2.75,3128,9,1950,2856
-121.901,47.7736,330000,3,2.5,26977,8,1790,27743
-122.218,47.6294,927000,4,2.75,12090,8,3180,12239
-122.213,47.5634,1120000,4,2.5,16619,10,3600,16553
-122.241,47.7405,330000,2,1,10000,7,2000,9600
-122.118,47.5976,530000,5,2.25,8800,7,2110,8800
-122.129,47.5722,365000,4,2,25600,8,2000,10071
-122.289,47.5644,378750,3,2.5,3000,7,1060,3500
-122.157,47.4556,269900,4,1.75,8750,7,1390,8750
-122.305,47.6055,557000,3,3.5,2096,8,1630,1543
-122.022,47.1775,360000,4,1.75,16980,7,1880,16963
-122.385,47.6879,352000,2,1,5000,7,1560,4500
-121.779,47.4807,437000,3,2.5,22357,8,2430,22357
-122.032,47.3845,322500,4,2.5,6753,7,1820,7107
-122.402,47.5815,650000,3,3.25,2000,9,1510,1352
-122.344,47.6609,450000,3,2,1213,8,1290,3235
-122.188,47.3163,278500,3,2,5250,7,1570,5250
-122.191,47.4309,364950,4,2.5,6957,8,2090,6996
-122.026,47.401,840000,4,3.5,40139,10,3180,36852
-122.191,47.404,268000,3,2.5,8134,7,1550,8134
-122.482,47.3889,517534,2,1,143947,5,1380,143947
-122.095,47.7718,632925,3,2.5,32239,8,2990,36497
-122.2,47.7067,577500,3,2.5,7251,9,2450,8118
-122.227,47.504,339000,4,1.5,7480,7,2850,6867
-122.164,47.7015,570000,3,1.75,37461,7,2520,18295
-121.95,47.5753,563500,4,1.75,174240,7,2690,174240
-122.333,47.7448,423000,4,2.25,9351,7,1910,8660
-121.982,47.7318,355000,3,2.25,5028,8,2320,5465
-121.95,47.5954,1550000,5,4.25,171626,12,4680,211267
-122.337,47.6885,482000,2,1,3960,7,1320,4050
-122.179,47.5724,625000,3,1.75,9135,7,1580,9800
-122.169,47.5272,538000,3,2.5,11632,8,2360,11632
-122.161,47.4334,380000,3,2.5,10255,8,2310,10094
-122.308,47.6073,375000,2,1,5120,7,1300,5120
-122.046,47.3592,245000,3,2.5,8500,7,1850,8140
-122.337,47.4546,310000,5,1.75,27260,7,1620,39480
-122.219,47.6408,1300000,3,2,15021,8,3530,15715
-122.2,47.7245,397000,4,2,7680,7,1460,9660
-122.178,47.4362,365000,3,2.5,4052,8,2310,5082
-122.156,47.3739,328500,4,3,8250,9,2290,8250
-122.127,47.7205,988000,4,3,19700,11,3930,21887
-122.33,47.6636,1000000,4,2.5,3277,8,1810,3277
-122.197,47.4324,237000,3,2.5,2138,7,1490,2094
-122.224,47.7734,525000,4,2.5,5280,8,2300,4674
-122.164,47.559,749000,4,2.5,9627,9,2140,9131
-122.041,47.633,722500,5,2.5,11800,10,3180,11398
-122.103,47.6954,843000,3,2.5,8750,10,2860,9003
-122.318,47.6776,438000,2,2,1372,8,1610,3090
-122.382,47.504,578000,3,1.75,10875,8,2460,11760
-122.255,47.2613,227950,3,1.5,8230,7,2077,4910
-122.271,47.3417,196000,3,2.25,11576,7,1890,7519
-122.275,47.6694,641000,2,1,5332,8,2400,5406
-121.955,47.4056,350000,3,1.5,219978,6,1930,210394
-122.289,47.3838,205000,3,1,7980,7,1150,8050
-122.082,47.7487,400000,3,1.75,9102,7,1920,9760
-122.078,47.5534,1030000,3,2.5,9816,10,3630,7704
-122.18,47.7355,505000,3,2,5460,7,1510,5460
-122.211,47.7206,475000,5,2.5,7200,7,1930,7221
-122.262,47.7691,520000,3,2.25,9263,8,2580,9450
-122.258,47.7183,1450000,3,4.5,24920,10,2610,13838
-122.214,47.7736,333500,3,1.75,9732,7,1630,10007
-122.029,47.362,232000,3,1,10403,6,1230,10209
-122.121,47.5698,691100,3,2.75,16117,8,2120,16117
-122.221,47.5505,811000,3,1.75,9897,8,1900,10005
-122.234,47.7605,551000,3,2.5,5802,9,2500,5788
-122.157,47.7356,496500,3,2.5,3640,8,2350,3710
-122.438,47.3844,705000,3,3,20978,9,2280,75396
-122.226,47.4904,578000,4,2.5,9225,9,2460,9600
-122.089,47.3663,255000,3,1.75,8659,7,1490,8223
-122.123,47.5637,1050000,4,3.5,7832,10,3220,8567
-122.125,47.3759,348000,3,2.25,8491,8,2400,8049
-122.167,47.3912,230000,3,2,3413,7,1570,3777
-122.371,47.3305,359500,4,2.25,11250,9,2480,11250
-122.357,47.7617,330000,3,1,7000,6,1220,7000
-121.909,47.6499,80000,1,0.75,5050,4,1200,7500
-122.353,47.7311,465000,3,1.75,6360,7,1480,6360
-122.107,47.3701,325000,4,2.5,7324,8,2100,7329
-122.318,47.4857,340500,3,2,28025,7,1770,14833
-122.042,47.3724,342500,3,2.5,5192,8,1810,6200
-122.266,47.4855,290900,2,2,17600,6,1310,12950
-122.064,47.6336,868700,3,4.25,6161,10,3230,7709
-122.281,47.717,1200000,4,2.75,8400,9,2820,8400
-122.066,47.6332,1150000,4,3.25,10259,11,4300,11919
